#Genome	Original Genome name	Microbial Group	Microbial Group obtaining method	Genome Phylogeny	Strain name	Genome mean coverage	Genome completeness (%)	Genome contamination (%)	Strain heterogeneity (%)	16S rRNA phylogeny (The longest identified fragment)	# ambiguous bases	# contigs	# predicted genes	# scaffolds	Coding density	GC	GC std	Genome size	Longest contig	Longest scaffold	Mean contig length	Mean scaffold length	N50 (contigs)	N50 (scaffolds)	Translation table	tRNAs decoding Standard 20 AA	Selenocysteine tRNAs	Possible suppressor tRNAs	tRNAs with undetermined/unknown isotypes	Predicted pseudogenes	Total tRNAs	Gram	Environment
SZUA-1130	SZU_Cayman_Shallow__BandP_5.46.P	Gammaproteobacteria-Thiomicrospirales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thioglobaceae;g__UBA2013;s__UBA2013 sp1	Gammaproteobacteria bacterium SZUA-1130 [Class]	14.12	87.36	3.97	50	#N/A	0	174	1311	174	0.936921733	0.408203672	0.017041148	1132371	27996	27996	6507.87931	6507.87931	8431	8431	11	33	0	0	0	2	35	Gram Negative	CymS
SZUA-1132	SZU_Cayman_Shallow__BandP_6.23.P	Latescibacteria	GTDB genome phylogeny	d__Bacteria;p__Latescibacteria;c__UBA2968;o__UBA8231;f__UBA8231;unclassified;unclassified	Candidatus Latescibacteria bacterium SZUA-1132 [Phylum]	10.21	52.47	2.75	0	Bacteria;PAUC34f;uncultured bacterium	0	1181	3151	1181	0.88420017	0.630606359	0.019472923	2828752	18227	18227	2395.217612	2395.217612	2345	2345	11	12	0	0	0	1	13	Gram Negative	CymS
SZUA-1133	SZU_Cayman_Shallow__BandP_6.43.P	Marine Group II	GTDB genome phylogeny	d__Archaea;p__Thermoplasmataeota;c__Epipelagoarchaeia;o__MGII;f__MGIIA;g__UBA623;unclassified	Marine Group II archaeon MGIIA SZUA-1133 [Class]	39.29	62.89	0.96	100	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured archaeon	0	200	1156	200	0.947143842	0.595535045	0.017887349	1176003	39395	39395	5880.015	5880.015	8364	8364	11	43	0	0	1	0	44	Archaea	CymS
SZUA-1136	SZU_Cayman_Shallow__BandP_8.28.B	Chloroflexi	GTDB genome phylogeny	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__UBA1151;f__UBA1151;g__UBA1328;s__UBA1328 sp1	Dehalococcoidia bacterium SZUA-1136 [Class]	26.63	92.57	0.99	0	Bacteria;Chloroflexi;SAR202 clade;uncultured bacterium	0	218	2305	218	0.870701282	0.580343806	0.01307035	2303681	64612	64612	10567.34404	10567.34404	17742	17742	11	46	0	0	0	2	48	Gram Negative	CymS
SZUA-1139	SZU_Cayman_Shallow__BandP_9.2.B_VB	Chloroflexi	GTDB genome phylogeny	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;unclassified	Dehalococcoidia bacterium SZUA-1139 [Class]	23.73	82.06	6.16	0	#N/A	0	164	2931	164	0.867827465	0.590708993	0.010592637	2914259	76412	76412	17769.87195	17769.87195	25508	25508	11	35	0	0	1	1	37	Gram Negative	CymS
SZUA-1140	SZU_Cayman_Shallow__BandP_9.20.B	Alphaproteobacteria-UBA7887	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7887;f__UBA7887;g__UBA3504;unclassified	Alphaproteobacteria bacterium SZUA-1140 [Class]	12.72	50.31	5.12	20	#N/A	0	385	2129	385	0.902042187	0.506857366	0.016383074	1973717	21951	21951	5126.537662	5126.537662	5724	5724	11	11	0	0	0	1	12	Gram Negative	CymS
SZUA-1141	SZU_Cayman_Shallow__BandP_9.21.B	Gammaproteobacteria-LS-SOB	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__UBA11791;s__UBA11791 sp1	Gammaproteobacteria bacterium SZUA-1141 [Class]	33.04	67.01	4.88	22.22	#N/A	0	382	2525	382	0.908246435	0.528400127	0.022252693	2446063	27188	27188	6403.306283	6403.306283	7492	7492	11	36	0	0	0	2	38	Gram Negative	CymS
SZUA-1142	SZU_Cayman_Shallow__BandP_9.28.P	Unknown	Phylogenetic tree	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;unclassified	Candidatus bacterium SZUA-1142 [Phylum]	37.16	69.03	2.7	50	#N/A	0	433	2198	433	0.93059276	0.610490209	0.022687454	2243959	18136	18136	5182.353349	5182.353349	5515	5515	11	22	0	0	0	0	22	Gram Negative	CymS
SZUA-1145	SZU_Cayman_Shallow__BandP_9.35.P	Actinobacteria	GTDB genome phylogeny	d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__UBA3125;unclassified	Acidimicrobiia bacterium SZUA-1145 [Class]	19.26	91.45	2.99	20	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996 marine group;uncultured bacterium	0	216	2092	216	0.931101725	0.688148247	0.015341827	2003577	55222	55222	9275.819444	9275.819444	11829	11829	11	37	0	1	0	1	39	Gram Positive	CymS
SZUA-1146	SZU_Cayman_Shallow__BandP_9.4.P	Marinimicrobia	GTDB genome phylogeny	d__Bacteria;p__Marinimicrobia;c__Marinisomatia;o__Marinisomatales;f__Marinisomataceae;g__UBA2126;unclassified	Candidatus Marinimicrobia bacterium SZUA-1146 [Phylum]	18.78	50.45	9.7	7.14	#N/A	0	248	1404	248	0.949886024	0.40036952	0.024277597	1359062	40663	40663	5480.08871	5480.08871	5685	5685	11	22	0	0	0	1	23	Gram Negative	CymS
SZUA-1147	SZU_Cayman_Shallow__BandP_9.40.P	Epsilonproteobacteria-Campylobacterales	GTDB genome phylogeny	d__Bacteria;p__Epsilonbacteraeota;c__Campylobacteria;o__Campylobacterales;f__Thiovulaceae;g__Sulfurimonas;unclassified	Campylobacterales bacterium SZUA-1147 [Order]	45.63	98.77	1.84	0	#N/A	0	44	1884	44	0.921380045	0.340904728	0.020884678	1698322	217448	217448	38598.22727	38598.22727	92279	92279	11	41	0	0	0	1	42	Gram Negative	CymS
SZUA-1148	SZU_Cayman_Shallow__BandP_9.42.P	Epsilonproteobacteria-Campylobacterales	GTDB genome phylogeny	d__Bacteria;p__Epsilonbacteraeota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__UBA1140;unclassified	Campylobacterales bacterium SZUA-1148 [Order]	15.22	83.23	7.4	62.5	#N/A	0	309	1710	309	0.926485924	0.348284661	0.018328102	1577385	15887	15887	5104.805825	5104.805825	5578	5578	11	30	0	0	0	2	32	Gram Negative	CymS
SZUA-1150	SZU_Cayman_Shallow__BandP_9.61.P	Thaumarchaeota	GTDB genome phylogeny	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA57;g__UBA57;unclassified	Nitrososphaerales archaeon SZUA-1150 [Order]	10.37	56.55	1.55	0	#N/A	0	194	952	194	0.948484063	0.331137034	0.02212861	794822	11234	11234	4097.020619	4097.020619	4149	4149	11	24	0	0	1	0	25	Archaea	CymS
SZUA-1152	SZU_Cayman_Shallow__BandP_9.7.B	Gammaproteobacteria-LS-SOB	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp2	Gammaproteobacteria bacterium SZUA-1152 [Class]	49.44	67.01	1.83	66.67	#N/A	0	234	2243	234	0.916323173	0.539065236	0.01877712	2193152	60383	60383	9372.444444	9372.444444	12461	12461	11	28	0	0	0	1	29	Gram Negative	CymS
SZUA-1153	SZU_Cayman_Deep__BandP_1.12.B	Chloroflexi	GTDB genome phylogeny	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__SAR202;f__UBA11138;g__UBA1123;unclassified	Dehalococcoidia bacterium SZUA-1153 [Class]	37.6	91.07	1.85	50	#N/A	0	394	3554	394	0.863823957	0.557901495	0.014155067	3272558	46260	46260	8305.984772	8305.984772	10562	10562	11	37	0	0	0	1	38	Gram Negative	CymD
SZUA-1154	SZU_Cayman_Deep__BandP_1.27.P	Gammaproteobacteria-Thiomicrospirales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thioglobaceae;g__UBA2013;unclassified	Gammaproteobacteria bacterium SZUA-1154 [Class]	20.07	58.75	6.84	12.5	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;SUP05 cluster;uncultured bacterium	0	277	1363	277	0.939185353	0.401985663	0.018118607	1143195	14017	14017	4127.057762	4127.057762	4132	4132	11	22	0	0	1	0	23	Gram Negative	CymD
SZUA-1156	SZU_Cayman_Deep__BandP_10.2.P	Chloroflexi	GTDB genome phylogeny	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA11650;unclassified	Dehalococcoidia bacterium SZUA-1156 [Class]	80.19	93.73	1.98	0	Bacteria;Chloroflexi;SAR202 clade;uncultured sediment bacterium	0	278	3888	278	0.850627416	0.574715475	0.02116636	3889288	126066	126066	13990.2446	13990.2446	25891	25891	11	41	0	0	0	3	44	Gram Negative	CymD
SZUA-1157	SZU_Cayman_Deep__BandP_10.29.P	Marinimicrobia	GTDB genome phylogeny	d__Bacteria;p__Marinimicrobia;c__Marinisomatia;o__Marinisomatales;f__UBA2128;g__UBA2128;s__UBA2128 sp1	Candidatus Marinimicrobia bacterium SZUA-1157 [Phylum]	21.58	58.4	0	0	#N/A	0	182	1212	182	0.946356275	0.454568555	0.026570944	1172756	33944	33944	6443.714286	6443.714286	7768	7768	11	16	0	1	0	1	18	Gram Negative	CymD
SZUA-1158	SZU_Cayman_Deep__BandP_10.34.B	Marine Group III	GTDB genome phylogeny	d__Archaea;p__Thermoplasmataeota;c__Epipelagoarchaeia;o__Epipelagoarchaeales;f__Epipelagoarchaeaceae;g__Epipelagoarchaeum;s__Epipelagoarchaeum sp2	Marine Group III archaeon Epi SZUA-1158 [Class]	27.57	62.37	1.6	50	#N/A	0	150	845	150	0.959861328	0.436245627	0.018477713	785452	14213	14213	5236.346667	5236.346667	5582	5582	11	34	0	0	0	0	34	Archaea	CymD
SZUA-1159	SZU_Cayman_Deep__BandP_11.11.B	Gammaproteobacteria-LS-SOB	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp2	Gammaproteobacteria bacterium SZUA-1159 [Class]	55.29	95.43	3.96	14.29	Bacteria;Proteobacteria;Gammaproteobacteria;E01-9C-26 marine group;uncultured bacterium	0	209	3463	209	0.901440107	0.529020841	0.026126232	3534460	113682	113682	16911.29187	16911.29187	26430	26430	11	51	0	0	2	9	62	Gram Negative	CymD
SZUA-1160	SZU_Cayman_Deep__BandP_12.17.B	Alphaproteobacteria-Rhodospirillales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Casp-alpha2;g__Casp-alpha2;unclassified	Rhodospirillales bacterium SZUA-1160 [Order]	25.69	83.09	2.65	10	#N/A	0	296	2301	296	0.908650081	0.574939063	0.021247513	2089044	35418	35418	7057.581081	7057.581081	8096	8096	11	22	0	0	0	0	22	Gram Negative	CymD
SZUA-1161	SZU_Cayman_Deep__BandP_2.15.B	Actinobacteria	GTDB genome phylogeny	d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__UBA3125;unclassified	Acidimicrobiia bacterium SZUA-1161 [Class]	27.91	83.45	2.99	0	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996 marine group;uncultured bacterium	0	230	2182	230	0.932391353	0.685329687	0.019553533	2085961	61009	61009	9069.395652	9069.395652	11177	11177	11	33	0	1	0	3	37	Gram Positive	CymD
SZUA-1164	SZU_Cayman_Deep__BandP_3.21.B	Marinimicrobia	GTDB genome phylogeny	d__Bacteria;p__Marinimicrobia;c__Marinisomatia;o__Marinisomatales;f__Marinisomataceae;g__UBA2134;s__UBA2134 sp1	Candidatus Marinimicrobia bacterium SZUA-1164 [Phylum]	20.89	83.52	3.4	50	Bacteria;Marinimicrobia (SAR406 clade);uncultured bacterium	0	388	1890	388	0.941945236	0.422500039	0.01663978	1787588	21779	21779	4607.185567	4607.185567	5902	5902	11	20	0	0	0	0	20	Gram Negative	CymD
SZUA-1165	SZU_Cayman_Deep__BandP_4.20.P	Deltaproteobacteria-SAR324	GTDB genome phylogeny	d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__Arctic96AD-7;s__Arctic96AD-7 sp1	Deltaproteobacteria bacterium SZUA-1165 [Class]	119.31	75.63	0.07	100	#N/A	0	596	2328	596	0.901275382	0.422732337	0.023270788	2126187	21215	21215	3567.427852	3567.427852	4085	4085	11	18	0	0	0	1	19	Gram Negative	CymD
SZUA-1167	SZU_Cayman_Deep__BandP_4.29.P	Marine Group II	GTDB genome phylogeny	d__Archaea;p__Thermoplasmataeota;c__Epipelagoarchaeia;o__MGII;f__MGIIA;g__UBA623;s__UBA623 sp4	Marine Group II archaeon MGIIA SZUA-1167 [Class]	48.43	69.47	0.8	0	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured archaeon	0	27	1127	27	0.943107716	0.616293314	0.009005428	1303639	200503	200503	48282.92593	48282.92593	83583	83583	11	45	0	0	0	0	45	Archaea	CymD
SZUA-1168	SZU_Cayman_Deep__BandP_4.3.P	Acidobacteria	GTDB genome phylogeny	d__Bacteria;p__Acidobacteria;c__DSM-100886;o__DSM-100886;f__UBA8438;g__UBA8438;unclassified	Acidobacteria bacterium SZUA-1168 [Phylum]	22.75	72.41	2.74	25	Bacteria;Acidobacteria;Subgroup 6;uncultured bacterium	0	771	2998	771	0.889418644	0.665818638	0.019062895	2912245	20994	20994	3777.230869	3777.230869	4385	4385	11	29	0	0	0	2	31	Gram Negative	CymD
SZUA-1169	SZU_Cayman_Deep__BandP_4.34.B	Planctomycetes	GTDB genome phylogeny	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA854;unclassified	Phycisphaerales bacterium SZUA-1169 [Order]	16.98	61.59	1.14	0	#N/A	0	351	1177	351	0.947584889	0.50083119	0.015564642	987139	8473	8473	2812.361823	2812.361823	2903	2903	11	18	0	0	0	1	19	Gram Negative	CymD
SZUA-1172	SZU_Cayman_Deep__BandP_5.17.B	Chloroflexi	GTDB genome phylogeny	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA1141;unclassified	Dehalococcoidia bacterium SZUA-1172 [Class]	18.08	54.24	1.98	0	Bacteria;Chloroflexi;SAR202 clade;uncultured Chloroflexi bacterium	0	791	2866	791	0.837556381	0.549637634	0.015955724	2452494	14656	14656	3100.498104	3100.498104	3264	3264	11	35	0	0	0	2	37	Gram Negative	CymD
SZUA-1174	SZU_Cayman_Deep__BandP_5.26.P	Marine Group II	GTDB genome phylogeny	d__Archaea;p__Thermoplasmataeota;c__Epipelagoarchaeia;o__MGII;f__MGIIA;g__UBA58;unclassified	Marine Group II archaeon MGIIA SZUA-1174 [Class]	20.68	69.71	1.25	25	#N/A	0	275	1330	275	0.932360522	0.565079387	0.018922335	1292337	28619	28619	4699.407273	4699.407273	5673	5673	11	35	0	0	0	0	35	Archaea	CymD
