#Genome	Original Genome name	Microbial Group	Microbial Group obtaining method	Genome Phylogeny	Strain name	Genome mean coverage	Genome completeness (%)	Genome contamination (%)	Strain heterogeneity (%)	16S rRNA phylogeny (The longest identified fragment)	# ambiguous bases	# contigs	# predicted genes	# scaffolds	Coding density	GC	GC std	Genome size	Longest contig	Longest scaffold	Mean contig length	Mean scaffold length	N50 (contigs)	N50 (scaffolds)	Translation table	tRNAs decoding Standard 20 AA	Selenocysteine tRNAs	Possible suppressor tRNAs	tRNAs with undetermined/unknown isotypes	Predicted pseudogenes	Total tRNAs	Gram	Environment
SZUA-1013	SZU_Guaymas_Basin__P_10.31	Alphaproteobacteria-Caulobacterales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Henriciella;s__Henriciella marina	Henriciella marina SZUA-1013 [Species]	8.21	79.42	0.99	14.29	#N/A	0	486	3112	486	0.920334768	0.602555924	0.0169184	2780912	19799	19799	5722.041152	5722.041152	6539	6539	11	29	0	0	0	0	29	Gram Negative	GyBn
SZUA-1014	SZU_Guaymas_Basin__P_10.4	Planctomycetes	GTDB genome phylogeny	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__UBA10068;unclassified	Planctomycetes bacterium SZUA-1014 [Phylum]	9.21	81.32	6.74	16.67	#N/A	0	1266	7115	1266	0.869456041	0.560237372	0.011529642	8152771	40705	40705	6439.78752	6439.78752	7526	7526	11	39	0	0	0	2	41	Gram Negative	GyBn
SZUA-1015	SZU_Guaymas_Basin__P_10.49	Marine Group II	GTDB genome phylogeny	d__Archaea;p__Thermoplasmataeota;c__Epipelagoarchaeia;o__MGII;f__MGIIB;g__UBA60;unclassified	Marine Group II archaeon MGIIB SZUA-1015 [Class]	16.41	84.13	1.6	0	#N/A	0	85	1574	85	0.923325856	0.432150113	0.013930879	2004248	125090	125090	23579.38824	23579.38824	36109	36109	11	40	0	0	0	1	41	Archaea	GyBn
SZUA-1017	SZU_Guaymas_Basin__P_10.65	Gammaproteobacteria-Thiomicrospirales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thioglobaceae;g__Thioglobus_A;s__Thioglobus_A autotrophicus	Candidatus Thioglobus autotrophicus SZUA-1017 [Species]	26.95	95.97	3.24	26.67	#N/A	0	199	1632	199	0.947428123	0.381223899	0.015063364	1458993	44871	44871	7331.623116	7331.623116	9491	9491	11	26	0	0	0	1	27	Gram Negative	GyBn
SZUA-1019	SZU_Guaymas_Basin__P_10.6_VB	Myxococcales	GTDB genome phylogeny	d__Bacteria;p__Myxococcaeota;c__UBA9160;o__UBA9160;f__UBA4427;g__UBA4427;unclassified	Myxococcales bacterium SZUA-1019 [Order]	23.25	55.2	9.03	27.78	#N/A	0	157	2502	157	0.905766801	0.618152911	0.013259856	2842321	71970	71970	18103.95541	18103.95541	24206	24206	11	22	0	1	0	0	23	Gram Negative	GyBn
SZUA-1021	SZU_Guaymas_Basin__P_10.79	Alphaproteobacteria	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;unclassified;unclassified;unclassified;unclassified	Alphaproteobacteria bacterium SZUA-1021 [Class]	15.39	52.15	0	0	#N/A	0	119	1225	119	0.943484071	0.306271821	0.01840645	1117331	38219	38219	9389.336134	9389.336134	14186	14186	11	13	0	0	0	0	13	Gram Negative	GyBn
SZUA-1023	SZU_Guaymas_Basin__P_11.17	Myxococcales	GTDB genome phylogeny	d__Bacteria;p__Myxococcaeota;c__UBA9160;o__UBA9160;f__UBA4427;g__UBA4427;unclassified	Myxococcales bacterium SZUA-1023 [Order]	14.54	85.53	0.97	0	Bacteria;Proteobacteria;Deltaproteobacteria;NB1-j;hydrothermal vent metagenome	0	108	3585	108	0.88877495	0.591046846	0.011798635	3804179	264170	264170	35223.87963	35223.87963	63481	63481	11	28	0	0	0	1	29	Gram Negative	GyBn
SZUA-1024	SZU_Guaymas_Basin__P_11.38	Chloroflexi	GTDB genome phylogeny	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__UBA1151;f__UBA1151;g__UBA1328;unclassified	Dehalococcoidia bacterium SZUA-1024 [Class]	11.3	94.72	1.98	100	Bacteria;Chloroflexi;SAR202 clade;hydrothermal vent metagenome	0	146	2457	146	0.867867031	0.540224243	0.011580747	2440481	91987	91987	16715.62329	16715.62329	26554	26554	11	43	0	0	0	3	46	Gram Negative	GyBn
SZUA-1025	SZU_Guaymas_Basin__P_11.61	Gammaproteobacteria-UBA11654	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__UBA11654;unclassified	Gammaproteobacteria bacterium SZUA-1025 [Class]	13.86	57.84	3.43	16.67	Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;uncultured;uncultured bacterium	0	177	1530	177	0.933420704	0.414637722	0.019792777	1487144	59777	59777	8401.943503	8401.943503	10583	10583	11	36	0	0	0	0	36	Gram Negative	GyBn
SZUA-1027	SZU_Guaymas_Basin__P_11.8	Latescibacteria	GTDB genome phylogeny	d__Bacteria;p__Latescibacteria;c__UBA2968;o__UBA8231;f__UBA8231;unclassified;unclassified	Candidatus Latescibacteria bacterium SZUA-1027 [Phylum]	8.64	79.93	2.2	0	#N/A	0	874	5528	874	0.89205944	0.567153304	0.025658779	5564998	42326	42326	6367.2746	6367.2746	7394	7394	11	32	0	0	1	1	34	Gram Negative	GyBn
SZUA-1028	SZU_Guaymas_Basin__P_12.37	Gammaproteobacteria-LS-SOB	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__UBA11791;s__UBA11791 sp1	Gammaproteobacteria bacterium SZUA-1028 [Class]	8.08	67.64	1.9	0	#N/A	0	444	2554	444	0.91834756	0.531859682	0.020536402	2384644	26057	26057	5370.81982	5370.81982	5710	5710	11	19	0	0	0	2	21	Gram Negative	GyBn
SZUA-1029	SZU_Guaymas_Basin__P_12.57	Chloroflexi	GTDB genome phylogeny	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__UBA1151;f__UBA1151;g__UBA12573;unclassified	Dehalococcoidia bacterium SZUA-1029 [Class]	7.63	63.9	0	0	Bacteria;Chloroflexi;SAR202 clade;hydrothermal vent metagenome	0	328	1591	328	0.865938105	0.584029893	0.015402748	1467091	21425	21425	4472.838415	4472.838415	4536	4536	11	25	0	0	0	0	25	Gram Negative	GyBn
SZUA-1030	SZU_Guaymas_Basin__P_12.64	Marine Group II	GTDB genome phylogeny	d__Archaea;p__Thermoplasmataeota;c__Epipelagoarchaeia;o__MGII;f__MGIIA;g__UBA99;unclassified	Marine Group II archaeon MGIIA SZUA-1030 [Class]	91.01	73.16	1.6	50	#N/A	0	51	1116	51	0.942262347	0.444057578	0.016869638	1288414	118452	118452	25263.01961	25263.01961	49969	49969	11	38	0	0	0	0	38	Archaea	GyBn
SZUA-1031	SZU_Guaymas_Basin__P_2.19	Deltaproteobacteria-SAR324	GTDB genome phylogeny	d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__UBA8110;s__UBA8110 sp1	Deltaproteobacteria bacterium SZUA-1031 [Class]	16.02	92.52	1.73	33.33	#N/A	0	334	3400	334	0.915610227	0.569107363	0.02077515	3351271	67691	67691	10033.74551	10033.74551	13685	13685	11	35	0	0	1	2	38	Gram Negative	GyBn
SZUA-1032	SZU_Guaymas_Basin__P_2.27	Myxococcales	Phylogenetic tree	d__Bacteria;p__UBP10;c__GR-WP33-30;o__UBA1149;f__UBA1149;g__UBA1149;unclassified	Myxococcales bacterium SZUA-1032 [Order]	11.67	90.39	2.1	0	#N/A	0	175	2540	175	0.936502122	0.6340595	0.02106723	2743446	103356	103356	15676.83429	15676.83429	23642	23642	11	41	0	1	0	0	42	Gram Negative	GyBn
SZUA-1033	SZU_Guaymas_Basin__P_2.30	Actinobacteria	GTDB genome phylogeny	d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Microtrichales;f__TK06;g__UBA2110;unclassified	Acidimicrobiia bacterium SZUA-1033 [Class]	26.78	98.29	2.14	0	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996 marine group;uncultured bacterium	0	157	2742	157	0.932254333	0.543876999	0.011707102	2674636	83523	83523	17035.89809	17035.89809	27893	27893	11	45	0	1	1	2	49	Gram Positive	GyBn
SZUA-1034	SZU_Guaymas_Basin__P_2.39	Alphaproteobacteria-Micavibrionales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__Micavibrio;unclassified	Micavibrio sp. SZUA-1034 [Genus]	8.31	79.38	1.32	16.67	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Cohaesibacter;uncultured alpha proteobacterium	0	349	2433	349	0.925611135	0.480298624	0.020681747	2219109	31459	31459	6358.47851	6358.47851	7107	7107	11	28	0	0	0	0	28	Gram Negative	GyBn
SZUA-1035	SZU_Guaymas_Basin__P_2.41	Verrucomicrobia	GTDB genome phylogeny	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1100;g__UBA1100;unclassified	Verrucomicrobia bacterium SZUA-1035 [Phylum]	11.6	78	1.58	66.67	#N/A	0	423	2176	423	0.940882925	0.579983734	0.019517544	2146774	21388	21388	5075.115839	5075.115839	5570	5570	11	21	0	1	0	1	23	Gram Negative	GyBn
SZUA-1036	SZU_Guaymas_Basin__P_2.42	Gammaproteobacteria-Pseudomonadales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;unclassified	Alcanivorax sp. SZUA-1036 [Genus]	7.37	53.01	1.12	33.33	#N/A	0	482	2234	482	0.894111103	0.5892593	0.023087475	2056514	14610	14610	4266.626556	4266.626556	4278	4278	11	16	0	0	0	0	16	Gram Negative	GyBn
SZUA-1037	SZU_Guaymas_Basin__P_2.49	Marinimicrobia	Phylogenetic tree	d__Bacteria;p__Nitrospinae;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;unclassified;unclassified	Candidatus Marinimicrobia bacterium SZUA-1037 [Phylum]	8.04	51.43	5.49	6.67	#N/A	0	418	2096	418	0.90461238	0.381282063	0.021077794	1728652	15885	15885	4135.5311	4135.5311	4160	4160	11	37	0	0	1	2	40	Gram Negative	GyBn
SZUA-1038	SZU_Guaymas_Basin__P_2.53	Gammaproteobacteria-Thiomicrospirales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thioglobaceae;g__Thioglobus;unclassified	Candidatus Thioglobus sp. SZUA-1038 [Genus]	12.71	98.57	3.97	14.29	#N/A	0	136	1702	136	0.929767686	0.43084169	0.015292094	1633607	82266	82266	12011.81618	12011.81618	18564	18564	11	34	0	0	0	0	34	Gram Negative	GyBn
SZUA-1039	SZU_Guaymas_Basin__P_2.55	Marine Group II	GTDB genome phylogeny	d__Archaea;p__Thermoplasmataeota;c__Epipelagoarchaeia;o__MGII;f__MGIIA;g__UBA58;unclassified	Marine Group II archaeon MGIIA SZUA-1039 [Class]	99.7	70.27	0	0	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured archaeon	0	132	1256	132	0.93588928	0.562824479	0.020831213	1370660	68758	68758	10383.78788	10383.78788	14253	14253	11	41	0	0	0	0	41	Archaea	GyBn
SZUA-1040	SZU_Guaymas_Basin__P_2.58	Gammaproteobacteria-Methylococcales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonaceae;g__OPU3-GD-OMZ;unclassified	Methylococcales bacterium SZUA-1040 [Order]	145.85	77.34	0.13	33.33	#N/A	0	165	1310	165	0.915248831	0.427441252	0.019418824	1210178	43135	43135	7334.412121	7334.412121	9546	9546	11	22	0	0	0	0	22	Gram Negative	GyBn
SZUA-1041	SZU_Guaymas_Basin__P_2.62	Marine Group III	GTDB genome phylogeny	d__Archaea;p__Thermoplasmataeota;c__Epipelagoarchaeia;o__Epipelagoarchaeales;f__Epipelagoarchaeaceae;g__Bathypelagoarchaeum;s__Bathypelagoarchaeum sp1	Marine Group III archaeon Bathy SZUA-1041 [Class]	11.24	88.74	0.06	100	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group III;uncultured marine archaeon	0	94	1172	94	0.952995963	0.639395152	0.025765306	1172261	63413	63413	12470.8617	12470.8617	17650	17650	11	44	0	0	0	0	44	Archaea	GyBn
SZUA-1044	SZU_Guaymas_Basin__P_2.9	Planctomycetes	GTDB genome phylogeny	d__Bacteria;p__Planctomycetes;unclassified;unclassified;unclassified;unclassified;unclassified	Planctomycetes bacterium SZUA-1044 [Phylum]	18.85	97.85	2.15	50	#N/A	0	136	3109	136	0.927439232	0.60903208	0.016791937	3841773	191027	191027	28248.33088	28248.33088	47546	47546	11	41	0	1	0	2	44	Gram Negative	GyBn
SZUA-1045	SZU_Guaymas_Basin__P_3.29	Chloroflexi	GTDB genome phylogeny	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;unclassified	Dehalococcoidia bacterium SZUA-1045 [Class]	15.72	94.72	0	0	Bacteria;Chloroflexi;SAR202 clade;hydrothermal vent metagenome	0	219	2918	219	0.857727957	0.546522044	0.015263682	2904752	89008	89008	13263.70776	13263.70776	25457	25457	11	40	0	0	0	0	40	Gram Negative	GyBn
SZUA-1046	SZU_Guaymas_Basin__P_3.43	Nitrospirae	GTDB genome phylogeny	d__Bacteria;p__Nitrospirae;c__Nitrospiria;unclassified;unclassified;unclassified;unclassified	Nitrospiria bacterium SZUA-1046 [Class]	19.81	96.76	0.91	0	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Leptospirillum;uncultured Nitrospirae bacterium	0	72	2201	72	0.881524274	0.498908245	0.019886614	2232643	113098	113098	31008.93056	31008.93056	55108	55108	11	45	0	0	0	0	45	Gram Negative	GyBn
SZUA-1047	SZU_Guaymas_Basin__P_3.56	Gammaproteobacteria-Methylococcales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonaceae;g__OPU3-GD-OMZ;unclassified	Methylococcales bacterium SZUA-1047 [Order]	35.55	91.02	2.36	18.75	#N/A	0	174	1777	174	0.908229835	0.424023646	0.020958963	1677081	58381	58381	9638.396552	9638.396552	16820	16820	11	32	0	0	0	1	33	Gram Negative	GyBn
SZUA-1050	SZU_Guaymas_Basin__P_4.19	Planctomycetes	GTDB genome phylogeny	d__Bacteria;p__Planctomycetes;unclassified;unclassified;unclassified;unclassified;unclassified	Planctomycetes bacterium SZUA-1050 [Phylum]	24.65	97.85	1.61	0	Bacteria;Planctomycetes;OM190;hydrothermal vent metagenome	0	52	2874	52	0.921369485	0.643969449	0.013664417	3601528	366421	366421	69260.15385	69260.15385	113651	113651	11	39	0	1	0	0	40	Gram Negative	GyBn
SZUA-1051	SZU_Guaymas_Basin__P_4.24	Gammaproteobacteria-Pseudomonadales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__OM182;unclassified	Porticoccaceae bacterium SZUA-1051 [Family]	28.68	92.96	0.8	0	#N/A	0	54	2951	54	0.868260199	0.444175296	0.013730078	3233237	353528	353528	59874.75926	59874.75926	141867	141867	11	37	0	1	0	1	39	Gram Negative	GyBn
SZUA-1052	SZU_Guaymas_Basin__P_4.39	Actinobacteria	GTDB genome phylogeny	d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__UBA9410;s__UBA9410 sp1	Acidimicrobiia bacterium SZUA-1052 [Class]	140.32	94.16	2.14	0	#N/A	0	378	2183	378	0.937425746	0.687746824	0.016279487	1994846	39792	39792	5277.37037	5277.37037	7212	7212	11	36	0	1	0	1	38	Gram Positive	GyBn
SZUA-1053	SZU_Guaymas_Basin__P_4.49	Marine Group II	GTDB genome phylogeny	d__Archaea;p__Thermoplasmataeota;c__Epipelagoarchaeia;o__MGII;f__MGIIB;g__UBA120;unclassified	Marine Group II archaeon MGIIB SZUA-1053 [Class]	9.03	84.61	4.8	0	#N/A	0	259	1872	259	0.952005891	0.450886308	0.017792328	2040938	48941	48941	7880.069498	7880.069498	11893	11893	11	37	0	0	0	0	37	Archaea	GyBn
SZUA-1054	SZU_Guaymas_Basin__P_4.51	Actinobacteria	GTDB genome phylogeny	d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__MedAcidi-G2B;unclassified	Acidimicrobiia bacterium SZUA-1054 [Class]	62.9	96.58	1.28	0	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996 marine group;uncultured bacterium	0	64	1938	64	0.947592105	0.560219888	0.016471125	1909884	204954	204954	29841.9375	29841.9375	64213	64213	11	41	0	1	0	0	42	Gram Positive	GyBn
SZUA-1055	SZU_Guaymas_Basin__P_4.57	Gammaproteobacteria-Thiomicrospirales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thioglobaceae;g__UBA8171;unclassified	Gammaproteobacteria bacterium SZUA-1055 [Class]	58.45	87.42	0.17	100	#N/A	0	195	1718	195	0.934027452	0.38943758	0.018401338	1597134	52147	52147	8190.430769	8190.430769	13742	13742	11	29	0	0	0	0	29	Gram Negative	GyBn
SZUA-1057	SZU_Guaymas_Basin__P_4.63	Marine Group II	GTDB genome phylogeny	d__Archaea;p__Thermoplasmataeota;c__Epipelagoarchaeia;o__MGII;f__MGIIA;g__UBA623;unclassified	Marine Group II archaeon MGIIA SZUA-1057 [Class]	12.79	77.96	0	0	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured marine archaeon	0	88	1230	88	0.951959412	0.559359203	0.014056963	1355687	69977	69977	15405.53409	15405.53409	24552	24552	11	45	0	0	0	0	45	Archaea	GyBn
SZUA-1058	SZU_Guaymas_Basin__P_4.76	Gammaproteobacteria-Thiomicrospirales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thioglobaceae;g__Thioglobus;unclassified	Candidatus Thioglobus sp. SZUA-1058 [Genus]	143.56	50.09	0.99	50	#N/A	0	259	931	259	0.940811484	0.368127109	0.018226445	779239	15341	15341	3008.644788	3008.644788	3040	3040	11	12	0	0	0	0	12	Gram Negative	GyBn
SZUA-1061	SZU_Guaymas_Basin__P_5.11	Verrucomicrobia	GTDB genome phylogeny	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Pedosphaerales;unclassified;unclassified;unclassified	Verrucomicrobia bacterium SZUA-1061 [Phylum]	7.28	71.77	9.14	4.55	#N/A	0	1457	5087	1457	0.897314577	0.48903258	0.019649402	4896138	17449	17449	3360.424159	3360.424159	3669	3669	11	27	0	0	1	2	30	Gram Negative	GyBn
SZUA-1062	SZU_Guaymas_Basin__P_5.30	Bacteroidetes	GTDB genome phylogeny	d__Bacteria;p__Bacteroidetes;c__Rhodothermia;o__Rhodothermales;unclassified;unclassified;unclassified	Rhodothermales bacterium SZUA-1062 [Order]	8.12	69.23	3.87	11.11	#N/A	0	832	3067	832	0.914802926	0.715760985	0.019071041	2819240	14945	14945	3388.509615	3388.509615	3704	3704	11	28	0	0	0	1	29	Gram Negative	GyBn
SZUA-1063	SZU_Guaymas_Basin__P_6.16	Verrucomicrobia	GTDB genome phylogeny	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__EC70;s__EC70 sp1	Verrucomicrobia bacterium SZUA-1063 [Phylum]	17.14	97.13	1.36	0	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;DEV007;uncultured organism	0	110	3001	110	0.935486508	0.433525695	0.026744421	3840499	270431	270431	34913.62727	34913.62727	79397	79397	11	34	0	1	0	0	35	Gram Negative	GyBn
SZUA-1064	SZU_Guaymas_Basin__P_6.19	Alphaproteobacteria-Rhodospirillales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__UBA2165;g__UBA2165;unclassified	Rhodospirillales bacterium SZUA-1064 [Order]	10.64	91.87	7.63	10.53	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;uncultured alpha proteobacterium	0	470	3553	470	0.891029698	0.414544185	0.017276411	3420721	43718	43718	7278.129787	7278.129787	11626	11626	11	29	0	1	0	2	32	Gram Negative	GyBn
SZUA-1065	SZU_Guaymas_Basin__P_6.23	Gammaproteobacteria-Pseudomonadales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__OM182;unclassified	Porticoccaceae bacterium SZUA-1065 [Family]	15.67	92.84	0.12	0	#N/A	0	129	2850	129	0.886360577	0.527018194	0.016890895	3082645	160519	160519	23896.47287	23896.47287	44643	44643	11	37	0	1	0	0	38	Gram Negative	GyBn
